 Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 20849408.000000, -0.507278 , 0.768096, 9.669396, 645407360.000000, 0.840000,  0.490000,  0.140000, 0.000000,  0.000000 
 20869120.000000, -0.535992 , 0.825524, 9.683753, 645427712.000000, 1.400000,  0.840000,  0.140000, 0.000000,  0.000000 
 20889664.000000, -0.473779 , 0.854238, 9.635897, 645447360.000000, 1.400000,  0.350000,  -0.070000, 0.000000,  0.000000 
 20909056.000000, -0.423530 , 0.815953, 9.619147, 645467968.000000, 0.840000,  0.070000,  0.420000, 0.000000,  0.000000 
 20929024.000000, -0.471386 , 0.748954, 9.645468, 645487360.000000, -0.420000,  0.350000,  0.070000, 0.000000,  0.000000 
 20949376.000000, -0.459422 , 0.748954, 9.623933, 645507328.000000, -1.190000,  0.560000,  -0.140000, 0.000000,  0.000000 
 20969024.000000, -0.502493 , 0.751346, 9.724431, 645527616.000000, -0.980000,  0.420000,  -0.070000, 0.000000,  0.000000 
 20991552.000000, -0.454636 , 0.787239, 9.667004, 645547328.000000, -0.630000,  0.210000,  0.070000, 0.000000,  0.000000 
 21009024.000000, -0.492921 , 0.789631, 9.640682, 645569856.000000, -0.630000,  0.350000,  0.140000, 0.000000,  0.000000 
 21028992.000000, -0.485743 , 0.770489, 9.683753, 645587264.000000, 0.140000,  0.420000,  0.140000, 0.000000,  0.000000 
 21049280.000000, -0.476172 , 0.825524, 9.652647, 645607296.000000, 0.630000,  0.210000,  0.070000, 0.000000,  0.000000 
 21068992.000000, -0.576670 , 0.851845, 9.664611, 645627584.000000, 0.980000,  0.280000,  0.140000, 0.000000,  0.000000 
 21089536.000000, -0.531207 , 0.803988, 9.643075, 645647232.000000, 0.350000,  0.630000,  -0.350000, 0.000000,  0.000000 
 21108928.000000, -0.504886 , 0.748954, 9.683753, 645667840.000000, -0.980000,  0.420000,  -0.140000, 0.000000,  0.000000 
 21128960.000000, -0.454636 , 0.722632, 9.667004, 645687232.000000, -1.330000,  -0.070000,  0.070000, 0.000000,  0.000000 
 21149248.000000, -0.452243 , 0.753739, 9.638289, 645707200.000000, -0.700000,  -0.140000,  0.070000, 0.000000,  0.000000 
 21168896.000000, -0.464208 , 0.763310, 9.671788, 645727552.000000, 0.350000,  0.210000,  0.140000, 0.000000,  0.000000 
 21189504.000000, -0.550349 , 0.854238, 9.647861, 645747200.000000, 0.840000,  0.630000,  0.140000, 0.000000,  0.000000 
 21208896.000000, -0.488136 , 0.863809, 9.645468, 645767808.000000, 0.840000,  0.630000,  -0.210000, 0.000000,  0.000000 
 21228864.000000, -0.468993 , 0.873380, 9.626326, 645787200.000000, 0.700000,  0.210000,  0.070000, 0.000000,  0.000000 
 21249216.000000, -0.468993 , 0.806381, 9.664611, 645807168.000000, -0.420000,  0.070000,  0.280000, 0.000000,  0.000000 
 21268864.000000, -0.521635 , 0.739382, 9.664611, 645827456.000000, -1.890000,  0.490000,  -0.070000, 0.000000,  0.000000 
 21289472.000000, -0.514457 , 0.686740, 9.674182, 645847168.000000, -2.170000,  0.560000,  -0.070000, 0.000000,  0.000000 
 21308864.000000, -0.509671 , 0.696311, 9.662218, 645867776.000000, -0.840000,  0.350000,  -0.070000, 0.000000,  0.000000 
 21328832.000000, -0.464208 , 0.813560, 9.635897, 645887168.000000, 0.910000,  0.210000,  -0.070000, 471635008.000000,  1008.809143 
 21349120.000000, -0.483350 , 0.835095, 9.633504, 645907136.000000, 1.400000,  0.350000,  0.070000, 0.000000,  0.000000 
 21368832.000000, -0.495314 , 0.842274, 9.631111, 645927424.000000, 1.050000,  0.420000,  0.070000, 0.000000,  0.000000 
 21389376.000000, -0.504886 , 0.830309, 9.678967, 645947136.000000, 0.560000,  0.490000,  0.070000, 0.000000,  0.000000 
 21408768.000000, -0.519243 , 0.825524, 9.693325, 645967680.000000, -0.070000,  0.630000,  -0.140000, 0.000000,  0.000000 
 21428800.000000, -0.473779 , 0.770489, 9.638289, 645987072.000000, -0.770000,  0.490000,  -0.070000, 0.000000,  0.000000 
 21449088.000000, -0.440279 , 0.765703, 9.633504, 646007040.000000, -0.980000,  0.140000,  -0.070000, 0.000000,  0.000000 
 21468800.000000, -0.476172 , 0.784846, 9.662218, 646027392.000000, -0.490000,  0.070000,  0.210000, 0.000000,  0.000000 
 21489536.000000, -0.514457 , 0.799203, 9.676575, 646047040.000000, -0.350000,  0.280000,  -0.070000, 0.000000,  0.000000 
 21508736.000000, -0.507278 , 0.801596, 9.667004, 646067776.000000, 0.070000,  0.630000,  -0.210000, 0.000000,  0.000000 
 21528704.000000, -0.457029 , 0.851845, 9.645468, 646087040.000000, 0.560000,  0.490000,  -0.210000, 0.000000,  0.000000 
 21549056.000000, -0.507278 , 0.825524, 9.635897, 646107008.000000, 0.560000,  0.140000,  0.070000, 0.000000,  0.000000 
 21568704.000000, -0.492921 , 0.801596, 9.647861, 646127296.000000, -0.070000,  0.210000,  -0.070000, 0.000000,  0.000000 
 21589312.000000, -0.495314 , 0.813560, 9.693325, 646147008.000000, -0.280000,  0.280000,  -0.070000, 0.000000,  0.000000 
 21608704.000000, -0.495314 , 0.837488, 9.628718, 646167552.000000, -0.070000,  0.280000,  -0.070000, 0.000000,  0.000000 
 21628672.000000, -0.478565 , 0.799203, 9.655040, 646186944.000000, 0.280000,  0.210000,  -0.070000, 0.000000,  0.000000 
 21648960.000000, -0.473779 , 0.851845, 9.643075, 646206976.000000, 0.210000,  0.350000,  -0.070000, 0.000000,  0.000000 
 21668672.000000, -0.454636 , 0.813560, 9.683753, 646227264.000000, 0.280000,  0.490000,  -0.070000, 0.000000,  0.000000 
 21689216.000000, -0.473779 , 0.870987, 9.659825, 646246912.000000, 0.490000,  0.350000,  -0.070000, 0.000000,  0.000000 
 21708608.000000, -0.473779 , 0.851845, 9.645468, 646267520.000000, 0.560000,  0.210000,  0.070000, 0.000000,  0.000000 
 21728640.000000, -0.476172 , 0.835095, 9.647861, 646286912.000000, 0.070000,  0.210000,  -0.070000, 0.000000,  0.000000 
