 Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 208617344.000000, -9.568897 , 0.244068, 2.342573, 1539863168.000000, 0.280000,  0.770000,  -0.070000, 0.000000,  0.000000 
 208637696.000000, -9.544970 , 0.229711, 2.373680, 1539883520.000000, -1.260000,  0.840000,  -0.070000, 0.000000,  0.000000 
 208657024.000000, -9.576077 , 0.279960, 2.359323, 1539903744.000000, -1.260000,  0.770000,  -0.350000, 0.000000,  0.000000 
 208676992.000000, -9.604790 , 0.296710, 2.371287, 1539923072.000000, -0.420000,  0.910000,  -0.910000, 0.000000,  0.000000 
 208697088.000000, -9.611969 , 0.318245, 2.359323, 1539943168.000000, -0.420000,  0.980000,  -0.910000, 0.000000,  0.000000 
 208717312.000000, -9.554541 , 0.272782, 2.335395, 1539963136.000000, 0.070000,  0.840000,  -0.280000, 0.000000,  0.000000 
 208737536.000000, -9.568897 , 0.306281, 2.309074, 1539983360.000000, 0.560000,  0.560000,  0.420000, 0.000000,  0.000000 
 208756992.000000, -9.556933 , 0.232104, 2.311467, 1540003712.000000, 0.770000,  0.560000,  0.630000, 0.000000,  0.000000 
 208776960.000000, -9.559326 , 0.253639, 2.352145, 1540023040.000000, 0.700000,  0.700000,  0.490000, 0.000000,  0.000000 
 208796928.000000, -9.542577 , 0.279960, 2.335395, 1540043008.000000, 0.420000,  0.770000,  0.420000, 0.000000,  0.000000 
 208817280.000000, -9.580862 , 0.253639, 2.361716, 1540063104.000000, 0.280000,  0.700000,  0.560000, 0.000000,  0.000000 
 208837504.000000, -9.597611 , 0.303888, 2.364109, 1540103680.000000, -0.350000,  0.840000,  0.560000, 0.000000,  0.000000 
 208856960.000000, -9.523434 , 0.275175, 2.318645, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 208876928.000000, -9.597611 , 0.277567, 2.344966, 1540123008.000000, -0.630000,  0.770000,  0.420000, 0.000000,  0.000000 
 208896896.000000, -9.566505 , 0.320638, 2.352145, 1540142976.000000, -0.700000,  0.840000,  0.070000, 0.000000,  0.000000 
 208917248.000000, -9.564112 , 0.260818, 2.333002, 1540162944.000000, -0.420000,  0.770000,  0.070000, 0.000000,  0.000000 
 208937472.000000, -9.566505 , 0.315853, 2.304288, 1540183296.000000, 0.210000,  0.840000,  0.210000, 0.000000,  0.000000 
 208956928.000000, -9.535398 , 0.289532, 2.299503, 1540203520.000000, 0.490000,  0.840000,  0.420000, 0.000000,  0.000000 
 208976896.000000, -9.537791 , 0.279960, 2.313859, 1540222976.000000, 0.420000,  0.840000,  0.420000, 0.000000,  0.000000 
 208996864.000000, -9.544970 , 0.256032, 2.325824, 1540242944.000000, 0.350000,  0.980000,  0.140000, 0.000000,  0.000000 
 209017216.000000, -9.585647 , 0.289532, 2.335395, 1540262912.000000, 0.490000,  0.980000,  -0.070000, 0.000000,  0.000000 
 209039360.000000, -9.583255 , 0.303888, 2.297110, 1540283264.000000, 0.420000,  1.050000,  -0.210000, 0.000000,  0.000000 
 209056896.000000, -9.544970 , 0.308674, 2.309074, 1540322944.000000, -0.560000,  0.980000,  -0.420000, 1537618176.000000,  1010.260010 
 209076864.000000, -9.554541 , 0.279960, 2.316252, 1540342912.000000, -0.700000,  0.910000,  -0.210000, 0.000000,  0.000000 
 209096832.000000, -9.552148 , 0.327817, 2.330609, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 209117056.000000, -9.518648 , 0.251246, 2.373680, 1540362880.000000, -0.840000,  1.050000,  -0.210000, 0.000000,  0.000000 
 209137408.000000, -9.595219 , 0.299103, 2.335395, 1540383232.000000, -0.910000,  1.120000,  -0.140000, 0.000000,  0.000000 
 209156736.000000, -9.619147 , 0.248854, 2.285146, 1540403456.000000, -0.280000,  1.120000,  -0.140000, 0.000000,  0.000000 
 209176704.000000, -9.559326 , 0.301496, 2.325824, 1540422784.000000, 0.490000,  0.840000,  0.070000, 0.000000,  0.000000 
 209196800.000000, -9.535398 , 0.287139, 2.321038, 1540442880.000000, 0.070000,  0.560000,  0.490000, 0.000000,  0.000000 
 209217024.000000, -9.535398 , 0.301496, 2.297110, 1540462848.000000, 0.420000,  0.490000,  0.420000, 0.000000,  0.000000 
 209237376.000000, -9.511470 , 0.358923, 2.333002, 1540483072.000000, 0.700000,  0.770000,  0.420000, 0.000000,  0.000000 
 209256704.000000, -9.533006 , 0.256032, 2.335395, 1540503424.000000, -0.210000,  0.840000,  0.140000, 0.000000,  0.000000 
 209276672.000000, -9.583255 , 0.287139, 2.311467, 1540522752.000000, -0.700000,  0.700000,  0.210000, 0.000000,  0.000000 
 209296640.000000, -9.611969 , 0.327817, 2.323431, 1540542720.000000, -0.840000,  0.770000,  -0.140000, 0.000000,  0.000000 
 209316992.000000, -9.647861 , 0.289532, 2.356930, 1540562816.000000, -0.980000,  0.560000,  -0.350000, 0.000000,  0.000000 
 209337216.000000, -9.580862 , 0.260818, 2.304288, 1540583040.000000, -0.420000,  0.350000,  0.070000, 0.000000,  0.000000 
 209356672.000000, -9.528220 , 0.296710, 2.244468, 1540603392.000000, 1.120000,  0.140000,  0.700000, 0.000000,  0.000000 
 209376640.000000, -9.559326 , 0.313460, 2.258825, 1540622720.000000, 1.890000,  0.280000,  0.840000, 0.000000,  0.000000 
