Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 403515840.000000, 0.641276 , 2.237289, 9.257831, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 20096.000000, 0.631705 , 2.043471, 9.293723, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 40704.000000, 0.600598 , 2.127219, 9.399008, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 61056.000000, 0.473779 , 2.505285, 9.037691, 1331306752.000000, 4.550000,  -0.420000,  -0.700000, 0.000000,  0.000000 
 80384.000000, 0.325424 , 2.627320, 8.920443, 1331327104.000000, 4.550000,  -0.420000,  -0.700000, 0.000000,  0.000000 
 100352.000000, 0.169890 , 2.522035, 9.176475, 1331346432.000000, 6.720000,  16.870001,  1.680000, 0.000000,  0.000000 
 120576.000000, 0.143569 , 2.486143, 9.174082, 1331366400.000000, 1.890000,  14.280000,  -9.660000, 0.000000,  0.000000 
 140672.000000, 0.157926 , 2.620141, 9.071191, 1331386624.000000, -4.130000,  13.370000,  -8.330000, 0.000000,  0.000000 
 162944.000000, 0.007178 , 2.586641, 9.035298, 1331406720.000000, -5.250000,  16.100000,  1.050000, 0.000000,  0.000000 
 180352.000000, -0.014357 , 2.395216, 9.030513, 1331428992.000000, -8.820000,  17.990000,  5.460000, 0.000000,  0.000000 
 200320.000000, 0.052642 , 2.337788, 9.016156, 1331446400.000000, -12.880000,  15.960000,  5.530000, 1328741632.000000,  1010.306702 
 220288.000000, 0.031107 , 2.361716, 8.757731, 1331466368.000000, -11.270000,  16.100000,  8.750000, 0.000000,  0.000000 
 240640.000000, 0.057428 , 2.522035, 8.528020, 1331486336.000000, -6.440000,  17.990000,  10.780000, 0.000000,  0.000000 
 260864.000000, 0.184247 , 2.567499, 8.841480, 1331506688.000000, -3.360000,  21.840000,  12.740000, 0.000000,  0.000000 
 280320.000000, -0.196211 , 2.234896, 9.023334, 1331526912.000000, -3.430000,  26.600000,  15.890000, 0.000000,  0.000000 
 300288.000000, -0.669990 , 2.206182, 9.078369, 1331546368.000000, -5.740000,  33.880001,  19.040001, 0.000000,  0.000000 
 320256.000000, -0.351745 , 2.368894, 9.169296, 1331566336.000000, -5.460000,  37.099998,  19.110001, 0.000000,  0.000000 
 340608.000000, -0.069392 , 2.526821, 8.906086, 1331586304.000000, -2.380000,  37.520000,  20.160000, 0.000000,  0.000000 
 360832.000000, -0.239282 , 2.715853, 8.721838, 1331606656.000000, 4.620000,  37.660000,  21.070000, 0.000000,  0.000000 
 380288.000000, -0.581456 , 2.577070, 8.542377, 1331626880.000000, 5.460000,  40.599998,  22.400000, 0.000000,  0.000000 
 400256.000000, -0.729811 , 2.471786, 8.288737, 1331646336.000000, -1.050000,  46.200001,  24.570000, 0.000000,  0.000000 
 420224.000000, -1.038485 , 2.210968, 7.587641, 1331666304.000000, -11.900000,  50.820000,  28.700001, 0.000000,  0.000000 
 440448.000000, -1.825724 , 1.880759, 6.137590, 1331686272.000000, -22.820000,  55.650002,  32.970001, 0.000000,  0.000000 
 460800.000000, -2.806781 , 1.670190, 5.685347, 1331706624.000000, -35.420002,  66.080002,  38.920002, 0.000000,  0.000000 
