  Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 41702912.000000, -9.559326 , 0.169890, 2.392823, 1372949120.000000, -0.840000,  1.120000,  0.910000, 0.000000,  0.000000 
 41723264.000000, -9.611969 , 0.212961, 2.347359, 1372969088.000000, -1.750000,  1.260000,  0.280000, 0.000000,  0.000000 
 41743488.000000, -9.585647 , 0.241675, 2.292324, 1372989312.000000, -0.280000,  1.120000,  0.350000, 0.000000,  0.000000 
 41762816.000000, -9.533006 , 0.253639, 2.321038, 1373009664.000000, 0.700000,  1.260000,  0.770000, 0.000000,  0.000000 
 41782784.000000, -9.571291 , 0.239282, 2.337788, 1373028864.000000, -1.120000,  1.120000,  0.840000, 0.000000,  0.000000 
 41802752.000000, -9.623933 , 0.198604, 2.421536, 1373048832.000000, -3.360000,  1.260000,  0.490000, 0.000000,  0.000000 
 41822976.000000, -9.609575 , 0.179462, 2.359323, 1373068800.000000, -3.430000,  1.330000,  0.630000, 0.000000,  0.000000 
 41843328.000000, -9.497113 , 0.258425, 2.337788, 1373089024.000000, -2.590000,  1.190000,  1.400000, 0.000000,  0.000000 
 41862656.000000, -9.511470 , 0.256032, 2.306681, 1373109376.000000, -2.870000,  0.840000,  2.030000, 0.000000,  0.000000 
 41882624.000000, -9.528220 , 0.205783, 2.354537, 1373128704.000000, -4.130000,  0.490000,  1.820000, 0.000000,  0.000000 
 41902464.000000, -9.535398 , 0.191426, 2.395216, 1373148672.000000, -4.900000,  0.630000,  0.630000, 0.000000,  0.000000 
 41922816.000000, -9.573684 , 0.220140, 2.440679, 1373168640.000000, -4.340000,  0.700000,  0.560000, 0.000000,  0.000000 
 41943040.000000, -9.588040 , 0.244068, 2.359323, 1373188864.000000, -3.080000,  0.700000,  0.420000, 0.000000,  0.000000 
 41962368.000000, -9.511470 , 0.232104, 2.304288, 1373209216.000000, -2.030000,  0.560000,  0.630000, 0.000000,  0.000000 
 41982336.000000, -9.571291 , 0.265603, 2.380858, 1373228544.000000, -2.170000,  0.490000,  0.560000, 0.000000,  0.000000 
 42002304.000000, -9.623933 , 0.210568, 2.366502, 1373248384.000000, -3.780000,  0.560000,  0.140000, 0.000000,  0.000000 
 42022528.000000, -9.547362 , 0.189033, 2.390430, 1373268480.000000, -4.690000,  0.490000,  0.140000, 0.000000,  0.000000 
 42042880.000000, -9.516255 , 0.189033, 2.392823, 1373288704.000000, -4.340000,  0.070000,  0.350000, 0.000000,  0.000000 
 42062208.000000, -9.549755 , 0.177069, 2.294717, 1373309056.000000, -3.290000,  -0.280000,  -0.140000, 0.000000,  0.000000 
 42082176.000000, -9.549755 , 0.208176, 2.304288, 1373328256.000000, -1.820000,  -0.280000,  -0.560000, 0.000000,  0.000000 
 42102144.000000, -9.528220 , 0.181855, 2.311467, 1373348224.000000, -2.030000,  0.280000,  -0.350000, 0.000000,  0.000000 
 42122368.000000, -9.492328 , 0.208176, 2.323431, 1373368192.000000, -3.080000,  0.350000,  -0.350000, 0.000000,  0.000000 
