Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 38592512.000000, 0.658026 , 3.888337, 8.886944, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 24576.000000, 0.969093 , 3.967300, 8.731410, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 40960.000000, 0.976272 , 3.862016, 8.772088, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 57344.000000, 0.909273 , 3.881158, 8.791230, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 81920.000000, 0.861416 , 3.816552, 8.767302, 87424073728.000000, -1.750000,  -19.389999,  -6.720000, 0.000000,  0.000000 
 98304.000000, 0.892523 , 3.780660, 8.934800, 87424098304.000000, -1.750000,  -19.389999,  -6.720000, 0.000000,  0.000000 
 122880.000000, 0.849452 , 3.852444, 8.920443, 87424114688.000000, -4.620000,  10.430000,  4.550000, 0.000000,  0.000000 
 139264.000000, 0.650848 , 3.840480, 8.848659, 87424139264.000000, -1.820000,  5.460000,  -0.770000, 0.000000,  0.000000 
 163840.000000, 0.607777 , 3.940979, 8.827123, 87424155648.000000, -1.540000,  5.810000,  -0.490000, 0.000000,  0.000000 
 180224.000000, 0.811167 , 3.900301, 8.796017, 87424180224.000000, -2.170000,  5.460000,  -0.070000, 0.000000,  0.000000 
 204800.000000, 0.820738 , 3.854837, 8.800802, 87424196608.000000, -2.870000,  4.550000,  -0.070000, 0.000000,  0.000000 
 221184.000000, 0.823131 , 3.881158, 8.743374, 87424221184.000000, -4.480000,  4.830000,  -0.700000, 0.000000,  0.000000 
 237568.000000, 0.909273 , 3.878766, 8.597411, 87424237568.000000, -5.110000,  5.670000,  -0.700000, 0.000000,  0.000000 
 262144.000000, 1.014557 , 3.828516, 8.520842, 87424253952.000000, -3.920000,  5.600000,  -0.140000, 0.000000,  0.000000 
 278528.000000, 1.103091 , 3.629912, 8.556733, 87424278528.000000, -4.270000,  6.160000,  -0.140000, 0.000000,  0.000000 
 303104.000000, 1.052842 , 3.720839, 8.573483, 87424294912.000000, -4.970000,  7.700000,  0.210000, 0.000000,  0.000000 
 319488.000000, 1.021735 , 3.739982, 8.530413, 87424319488.000000, -3.780000,  9.240000,  0.980000, 0.000000,  0.000000 
 344064.000000, 0.873380 , 3.816552, 8.461020, 87424335872.000000, -2.380000,  10.640000,  2.450000, 0.000000,  0.000000 
 360448.000000, 0.720240 , 3.744767, 8.317451, 87424360448.000000, -2.520000,  12.250000,  4.060000, 0.000000,  0.000000 
 385024.000000, 0.423530 , 3.795017, 8.037491, 87424376832.000000, -3.500000,  13.720000,  6.020000, 0.000000,  0.000000 
 401408.000000, 0.062213 , 3.876373, 7.621140, 87424401408.000000, -3.220000,  16.170000,  8.190000, 0.000000,  0.000000 
 425984.000000, -0.454636 , 4.010371, 7.046863, 87424417792.000000, -1.190000,  20.230000,  11.550000, 0.000000,  0.000000 
 442368.000000, -0.739382 , 3.974478, 6.436693, 87424442368.000000, -1.400000,  25.690001,  16.030001, 0.000000,  0.000000 
 458752.000000, -1.062413 , 3.854837, 6.032306, 87424458752.000000, -6.090000,  31.920000,  21.280001, 0.000000,  0.000000 
 483328.000000, -1.495514 , 3.890730, 5.821737, 87424475136.000000, -15.610000,  41.790001,  25.690001, 0.000000,  0.000000 
 499712.000000, -1.942972 , 3.821337, 5.972485, 87424499712.000000, -26.740000,  55.230000,  31.010000, 0.000000,  0.000000 
 524288.000000, -2.560320 , 3.383451, 6.082555, 87424516096.000000, -35.840000,  69.160004,  36.610001, 0.000000,  0.000000 
 540672.000000, -3.050849 , 3.146562, 6.180661, 87424540672.000000, -42.000000,  84.139999,  41.720001, 0.000000,  0.000000 
 557056.000000, -3.517449 , 3.072384, 6.276374, 87424557056.000000, -42.279999,  97.650002,  48.720001, 0.000000,  0.000000 
 581632.000000, -3.818945 , 3.029313, 6.197411, 87424581632.000000, -38.009998,  108.290001,  56.070000, 0.000000,  0.000000 
 598016.000000, -4.177868 , 2.811567, 6.482157, 87424598016.000000, -36.259998,  118.860001,  61.950001, 0.000000,  0.000000 
 622592.000000, -4.749753 , 2.519642, 6.709475, 87424614400.000000, -36.680000,  130.759995,  66.919998, 0.000000,  0.000000 
 638976.000000, -5.328816 , 2.383251, 6.551548, 87424638976.000000, -38.570000,  137.690002,  68.669998, 0.000000,  0.000000 
 663552.000000, -5.654240 , 2.256432, 6.515656, 87424679936.000000, -57.610001,  168.559998,  76.790001, 0.000000,  0.000000 
 679936.000000, -5.970093 , 1.787439, 7.173682, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 704512.000000, -6.403193 , 1.385444, 7.360322, 87424696320.000000, -66.639999,  180.809998,  78.610001, 0.000000,  0.000000 
 720896.000000, -7.290931 , 0.894916, 7.310073, 87424720896.000000, -74.059998,  195.649994,  77.000000, 0.000000,  0.000000 
 737280.000000, -7.910671 , 0.909273, 7.118648, 87424737280.000000, -73.570000,  212.449997,  75.250000, 0.000000,  0.000000 
 761856.000000, -8.121240 , 1.146162, 7.121039, 87424753664.000000, -61.810001,  220.080002,  75.320000, 0.000000,  0.000000 
 778240.000000, -8.312666 , 1.229911, 6.735795, 87424778240.000000, -50.610001,  223.229996,  69.790001, 0.000000,  0.000000 
 802816.000000, -8.693125 , 1.428515, 6.668797, 87424794624.000000, -51.660000,  230.649994,  58.939999, 0.000000,  0.000000 
 819200.000000, -9.016156 , 1.976472, 6.448657, 87424819200.000000, -58.939999,  239.889999,  48.790001, 0.000000,  0.000000 
 843776.000000, -9.432507 , 2.316252, 5.972485, 87424835584.000000, -55.930000,  246.399994,  47.320000, 0.000000,  0.000000 
 860160.000000, -9.985250 , 2.170290, 5.335995, 87424860160.000000, -54.040001,  248.919998,  45.080002, 0.000000,  0.000000 
 884736.000000, -10.789237 , 1.816152, 5.072784, 87424876544.000000, -60.480000,  255.570007,  46.200001, 0.000000,  0.000000 
 901120.000000, -11.777473 , 1.505085, 4.981857, 87424901120.000000, -66.010002,  262.989990,  48.720001, 0.000000,  0.000000 
