Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
 85730426880.000000, 1.773082 , 3.933800, 8.769694, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 16384.000000, 1.734797 , 3.771089, 8.673983, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000
 40960.000000, 1.710868 , 3.830909, 8.626125, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 57344.000000, 1.765903 , 3.857230, 8.578269, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 73728.000000, 1.631905 , 3.742374, 8.549555, 87385464832.000000, 55.090000,  -15.540000,  65.940002, 0.000000,  0.000000 
 98304.000000, 1.672583 , 3.787838, 8.611769, 87385481216.000000, 55.090000,  -15.540000,  65.940002, 0.000000,  0.000000 
 114688.000000, 1.761117 , 3.634698, 8.705089, 87385505792.000000, -4.900000,  6.020000,  3.990000, 0.000000,  0.000000 
 139264.000000, 1.603191 , 3.608376, 8.793623, 87385522176.000000, -4.970000,  1.120000,  -2.660000, 0.000000,  0.000000 
 155648.000000, 1.514657 , 3.732803, 8.650054, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 180224.000000, 1.658226 , 3.917051, 8.693125, 87385563136.000000, 1.750000,  2.030000,  -2.240000, 0.000000,  0.000000 
 196608.000000, 1.701297 , 3.929015, 8.748159, 87385587712.000000, 1.400000,  1.120000,  -2.590000, 0.000000,  0.000000 
 212992.000000, 1.536192 , 3.663411, 8.908479, 87385604096.000000, -4.550000,  1.750000,  -3.360000, 0.000000,  0.000000 
 237568.000000, 1.536192 , 3.713661, 8.918050, 87385620480.000000, -7.770000,  2.660000,  -3.920000, 0.000000,  0.000000 
 253952.000000, 1.663012 , 3.996014, 8.874979, 87385645056.000000, -3.220000,  1.400000,  -2.870000, 0.000000,  0.000000 
 278528.000000, 1.682154 , 3.993621, 8.836694, 87385661440.000000, 1.190000,  -0.280000,  -1.470000, 0.000000,  0.000000 
 294912.000000, 1.591227 , 3.723232, 8.848659, 87385686016.000000, -2.940000,  0.560000,  -2.450000, 0.000000,  0.000000 
 319488.000000, 1.617548 , 3.751946, 8.784052, 87385702400.000000, -5.740000,  1.330000,  -3.290000, 0.000000,  0.000000 
 335872.000000, 1.629512 , 3.940979, 8.719445, 87385726976.000000, -3.150000,  0.280000,  -2.870000, 0.000000,  0.000000 
 352256.000000, 1.756332 , 3.950550, 8.733803, 87385743360.000000, -0.070000,  -0.350000,  -2.100000, 0.000000,  0.000000 
 376832.000000, 1.643869 , 3.768696, 8.690732, 87385767936.000000, -1.540000,  -0.560000,  -2.240000, 0.000000,  0.000000 
 393216.000000, 1.531406 , 3.639483, 8.621340, 87385784320.000000, -4.200000,  0.560000,  -2.310000, 0.000000,  0.000000 
 417792.000000, 1.526621 , 3.675375, 8.489735, 87385800704.000000, -3.640000,  0.700000,  -1.680000, 0.000000,  0.000000 
 434176.000000, 1.502693 , 3.723232, 8.496914, 87385825280.000000, -2.030000,  0.350000,  -1.190000, 0.000000,  0.000000 
 458752.000000, 1.452443 , 3.622734, 8.489735, 87385841664.000000, -3.430000,  1.050000,  -1.050000, 0.000000,  0.000000 
 475136.000000, 1.313660 , 3.553342, 8.362915, 87385866240.000000, -7.700000,  2.100000,  -1.680000, 0.000000,  0.000000 
 499712.000000, 1.311267 , 3.460021, 8.090133, 87385882624.000000, -12.320000,  2.240000,  -2.170000, 0.000000,  0.000000 
 516096.000000, 1.450050 , 3.397808, 8.090133, 87385907200.000000, -16.940001,  1.820000,  -2.800000, 0.000000,  0.000000 
 540672.000000, 1.564906 , 3.393023, 8.178668, 87385923584.000000, -21.910000,  1.540000,  -4.130000, 0.000000,  0.000000 
 557056.000000, 1.703690 , 3.376273, 7.901100, 87385948160.000000, -28.210001,  1.400000,  -6.090000, 0.000000,  0.000000 
 573440.000000, 2.076970 , 3.297310, 7.659425, 87385964544.000000, -34.299999,  1.260000,  -7.070000, 0.000000,  0.000000 
 598016.000000, 2.541178 , 3.017349, 8.025528, 87385980928.000000, -45.430000,  2.730000,  -7.840000, 0.000000,  0.000000 
 614400.000000, 3.385844 , 2.565106, 8.827123, 87386005504.000000, -64.190002,  4.900000,  -10.430000, 0.000000,  0.000000 
 638976.000000, 3.766303 , 2.050649, 9.755538, 87386021888.000000, -79.379997,  6.650000,  -9.240000, 0.000000,  0.000000 
 655360.000000, 3.582055 , 1.569692, 10.298709, 87386062848.000000, -69.930000,  17.780001,  1.680000, 87446274048.000000,  1009.919312 
 679936.000000, 2.749353 , 1.787439, 11.227123, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 696320.000000, 2.636890 , 2.352145, 11.653046, 87386087424.000000, -59.430000,  20.299999,  6.720000, 0.000000,  0.000000 
 712704.000000, 3.067599 , 3.043670, 11.344372, 87386103808.000000, -25.129999,  11.550000,  21.980000, 0.000000,  0.000000 
 737280.000000, 3.512664 , 3.505485, 10.616954, 87386120192.000000, -3.360000,  -0.350000,  25.900000, 0.000000,  0.000000 
 753664.000000, 3.991228 , 3.687340, 10.088140, 87386144768.000000, -8.190000,  -5.600000,  27.510000, 0.000000,  0.000000 
 778240.000000, 3.936193 , 3.517449, 9.698111, 87386161152.000000, -24.850000,  -8.890000,  27.930000, 0.000000,  0.000000 
 794624.000000, 3.390630 , 3.189633, 9.377472, 87386185728.000000, -39.130001,  -9.170000,  20.230000, 0.000000,  0.000000 
 819200.000000, 2.892922 , 2.866602, 8.982656, 87386202112.000000, -49.700001,  -8.540000,  17.219999, 0.000000,  0.000000 
 835584.000000, 2.634498 , 2.435893, 7.948956, 87386226688.000000, -55.439999,  -8.750000,  18.760000, 0.000000,  0.000000 
 851968.000000, 2.416751 , 2.330609, 6.625726, 87386243072.000000, -52.849998,  -9.030000,  21.139999, 0.000000,  0.000000 
 876544.000000, 2.127219 , 1.981257, 5.807381, 87386267648.000000, -58.590000,  -3.920000,  27.020000, 0.000000,  0.000000 
 892928.000000, 1.672583 , 1.572084, 5.331209, 87386284032.000000, -74.690002,  5.950000,  32.830002, 0.000000,  0.000000 
 917504.000000, 1.048056 , 0.909273, 5.058427, 87386300416.000000, -95.970001,  20.719999,  37.380001, 0.000000,  0.000000 
 933888.000000, 0.461815 , 0.284746, 4.931608, 87386324992.000000, -112.980003,  36.259998,  43.610001, 0.000000,  0.000000 
 958464.000000, -0.059821 , -0.196211, 4.409972, 87386341376.000000, -121.309998,  50.259998,  51.450001, 0.000000,  0.000000 
 974848.000000, -0.600598 , -0.669990, 3.917051, 87386365952.000000, -111.720001,  61.670002,  63.209999, 0.000000,  0.000000 
 999424.000000, -1.086342 , -1.246661, 3.598805, 87386382336.000000, -87.360001,  73.919998,  76.440002, 0.000000,  0.000000 
 1015808.000000, -1.442872 , -1.383051, 3.184847, 87386406912.000000, -58.380001,  90.440002,  90.019997, 0.000000,  0.000000 
 1040384.000000, -1.871187 , -0.796810, 2.469393, 87386423296.000000, -30.870001,  109.760002,  107.449997, 0.000000,  0.000000 
 1056768.000000, -2.758924 , -0.514457, 2.354537, 87386447872.000000, -15.400000,  132.580002,  121.870003, 0.000000,  0.000000 
 1073152.000000, -4.132405 , -0.598206, 1.974079, 87386464256.000000, -21.910000,  163.660004,  129.990005, 0.000000,  0.000000 
 1097728.000000, -6.575477 , -1.062413, 1.564906, 87386480640.000000, -37.310001,  197.330002,  132.860001, 0.000000,  0.000000 
 1114112.000000, -10.181459 , -1.208375, 2.426322, 87386505216.000000, -55.650002,  239.610001,  133.839996, 0.000000,  0.000000 
 1138688.000000, -14.792429 , -0.945165, 2.986243, 87386521600.000000, -62.510002,  278.670013,  146.020004, 0.000000,  0.000000 
 1155072.000000, -20.185850 , -0.334995, 3.103491, 87386546176.000000, -32.410000,  324.309998,  177.660004, 0.000000,  0.000000 
 1179648.000000, -26.517262 , -0.361316, 4.759324, 87386562560.000000, 20.719999,  370.160004,  210.279999, 0.000000,  0.000000 
 1196032.000000, -32.228928 , -0.212961, 9.868000, 87386587136.000000, 65.870003,  417.339996,  226.940002, 0.000000,  0.000000 
 1212416.000000, -30.982267 , -1.859223, 13.875979, 87386603520.000000, 131.880005,  450.380005,  221.199997, 0.000000,  0.000000 
 1236992.000000, -25.265814 , -4.541577, 6.410372, 87386619904.000000, 300.299988,  453.040009,  210.910004, 0.000000,  0.000000 
 1253376.000000, -20.015961 , 0.550349, -0.825524, 87386644480.000000, 542.919983,  386.540009,  135.869995, 0.000000,  0.000000 
 1277952.000000, -15.026926 , 7.546963, 0.284746, 87386660864.000000, 564.130005,  274.470001,  63.770000, 0.000000,  0.000000 
 1294336.000000, -13.617554 , 8.578269, 1.921437, 87386685440.000000, 340.690002,  176.119995,  32.060001, 0.000000,  0.000000 
 1318912.000000, -13.483556 , 4.347759, 2.464607, 87386701824.000000, 98.980003,  141.330002,  -71.400002, 0.000000,  0.000000 
 1335296.000000, -13.028918 , 0.894916, 2.809174, 87386726400.000000, 0.840000,  138.250000,  -131.180008, 0.000000,  0.000000 
 1351680.000000, -12.732209 , -0.232104, 2.371287, 87386742784.000000, -136.080002,  136.009995,  -134.119995, 0.000000,  0.000000 
 1376256.000000, -12.256038 , -0.055035, 1.607977, 87386767360.000000, -164.500000,  118.720001,  -128.449997, 0.000000,  0.000000 
 1392640.000000, -10.738988 , -0.476172, 1.186840, 87386783744.000000, -122.290001,  95.340004,  -107.379997, 0.000000,  0.000000 
 1417216.000000, -9.872787 , -0.859023, 1.342373, 87386800128.000000, -77.980003,  68.320000,  -82.250000, 0.000000,  0.000000 
 1433600.000000, -8.563912 , -1.402194, 2.282753, 87386824704.000000, -58.730000,  42.139999,  -59.570000, 0.000000,  0.000000 
 1458176.000000, -8.054241 , -0.351745, 3.342773, 87386841088.000000, -47.880001,  34.930000,  -41.860001, 0.000000,  0.000000 
 1474560.000000, -7.733603 , 0.803988, 3.814159, 87386865664.000000, -20.299999,  36.820000,  -24.360001, 0.000000,  0.000000 
 1499136.000000, -6.855437 , 1.533799, 3.804588, 87386882048.000000, 14.070000,  32.900002,  -12.600000, 0.000000,  0.000000 
 1515520.000000, -5.498707 , 2.009971, 3.519842, 87386906624.000000, 24.570000,  17.710001,  -10.290000, 0.000000,  0.000000 
 1540096.000000, -4.625326 , 2.222932, 3.371487, 87386923008.000000, 10.220000,  3.080000,  -11.270000, 0.000000,  0.000000 
 1556480.000000, -4.524827 , 2.033899, 3.182454, 87386947584.000000, -11.200000,  -4.970000,  -13.440001, 0.000000,  0.000000 
 1572864.000000, -4.955536 , 1.880759, 2.933600, 87386963968.000000, -30.520000,  -10.640000,  -20.719999, 0.000000,  0.000000 
 1597440.000000, -5.221139 , 1.619941, 2.864209, 87386980352.000000, -50.330002,  -16.590000,  -20.580000, 0.000000,  0.000000 
 1613824.000000, -5.606383 , 1.466800, 3.266203, 87387004928.000000, -71.889999,  -23.940001,  -14.630000, 0.000000,  0.000000 
 1638400.000000, -6.242875 , 1.562513, 3.692125, 87387021312.000000, -92.610001,  -28.070000,  -10.430000, 0.000000,  0.000000 
 1654784.000000, -7.401000 , 1.545763, 3.818945, 87387062272.000000, -94.639999,  -19.180000,  5.530000, 87447273472.000000,  1009.913025 
 1679360.000000, -8.915657 , 1.287339, 3.797409, 0.000000, 0.000000,  0.000000,  0.000000, 0.000000,  0.000000 
 1695744.000000, -10.188639 , 1.021735, 4.055835, 87387086848.000000, -89.320000,  -12.320000,  9.030000, 0.000000,  0.000000 
 1712128.000000, -11.239087 , 1.435694, 4.448257, 87387103232.000000, -85.260002,  -13.860000,  10.780000, 0.000000,  0.000000 
 1736704.000000, -12.614961 , 2.210968, 4.247260, 87387119616.000000, -68.180000,  -20.719999,  15.890000, 0.000000,  0.000000 
 1753088.000000, -14.160725 , 2.297110, 3.936193, 87387144192.000000, -29.190001,  -25.830000,  21.420000, 0.000000,  0.000000 
 1777664.000000, -14.567505 , 2.383251, 3.790231, 87387160576.000000, 2.870000,  -35.910000,  14.000000, 0.000000,  0.000000 
 1794048.000000, -14.230117 , 2.959922, 3.522235, 87387185152.000000, 23.799999,  -52.779999,  12.810000, 0.000000,  0.000000 
 1818624.000000, -14.349757 , 3.677768, 2.912065, 87387201536.000000, 52.009998,  -73.570000,  20.930000, 0.000000,  0.000000 
 1835008.000000, -14.665611 , 3.579663, 1.859223, 87387226112.000000, 70.699997,  -88.480003,  22.540001, 0.000000,  0.000000 
 1859584.000000, -14.924035 , 3.010171, 1.349552, 87387242496.000000, 60.619999,  -96.040001,  24.780001, 0.000000,  0.000000 
 1875968.000000, -15.639489 , 2.502892, 1.686940, 87387267072.000000, 21.559999,  -100.029999,  23.030001, 0.000000,  0.000000 
 1892352.000000, -16.804794 , 2.179861, 2.366502, 87387283456.000000, -12.810000,  -98.279999,  18.340000, 0.000000,  0.000000 
 1916928.000000, -15.739986 , 1.576870, 2.715853, 87387299840.000000, -22.680000,  -96.180000,  11.830000, 0.000000,  0.000000 
 1933312.000000, -12.823137 , 1.442872, 2.335395, 87387324416.000000, -18.549999,  -110.599998,  10.850000, 0.000000,  0.000000 
 1957888.000000, -10.822738 , 1.201197, 1.464408, 87387340800.000000, 0.210000,  -138.460007,  10.290000, 0.000000,  0.000000 
 1974272.000000, -10.449455 , 0.636491, 1.294517, 87387365376.000000, 26.180000,  -160.020004,  6.160000, 0.000000,  0.000000 
 1998848.000000, -11.349157 , 0.897308, 1.514657, 87387381760.000000, 31.780001,  -170.169998,  -5.320000, 0.000000,  0.000000 
 2015232.000000, -12.090932 , 1.883151, 1.737189, 87387406336.000000, 22.049999,  -166.529999,  -10.500000, 0.000000,  0.000000 
 2039808.000000, -11.440084 , 1.337588, 1.533799, 87387422720.000000, 19.320000,  -168.000000,  -6.650000, 0.000000,  0.000000 
 2056192.000000, -10.348958 , 0.519243, 1.363909, 87387447296.000000, 23.450001,  -173.740005,  -2.380000, 0.000000,  0.000000 
 2072576.000000, -9.408579 , 0.423530, 1.210768, 87387463680.000000, 16.520000,  -167.649994,  0.420000, 0.000000,  0.000000 
 2097152.000000, -8.338986 , 1.081556, 1.203590, 87387480064.000000, 6.230000,  -154.070007,  11.200000, 0.000000,  0.000000 
 2113536.000000, -7.255038 , 1.052842, 0.897308, 87387504640.000000, -7.560000,  -145.529999,  19.600000, 0.000000,  0.000000 
