Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
800384.000000,-0.014357,1.612763,9.645468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19968.000000,0.112463,1.832902,9.425328,20096.000000,-4.130000,0.420000,-1.330000,0.000000,0.000000
39936.000000,0.033500,1.751546,9.504292,40064.000000,-0.560000,7.700000,6.160000,0.000000,0.000000
60864.000000,0.050249,1.622334,9.533006,60032.000000,0.560000,1.470000,2.030000,0.000000,0.000000
79936.000000,0.057428,1.605584,9.544970,80960.000000,-0.140000,0.630000,1.050000,0.000000,0.000000
99904.000000,-0.004786,1.560120,9.530612,100032.000000,0.770000,0.910000,0.910000,0.000000,0.000000
119936.000000,0.126820,1.691726,9.588040,120000.000000,2.310000,0.840000,0.770000,0.000000,0.000000
139904.000000,0.150748,1.832902,9.525827,140032.000000,3.850000,0.070000,0.980000,0.000000,0.000000
160768.000000,-0.016750,1.823331,9.442079,160000.000000,3.850000,-0.070000,0.490000,0.000000,0.000000
179840.000000,-0.016750,1.753939,9.489935,180864.000000,1.050000,0.910000,-0.420000,0.000000,0.000000
199872.000000,0.019143,1.691726,9.540184,199936.000000,-1.680000,0.840000,-0.490000,0.000000,0.000000
219840.000000,0.052642,1.694118,9.497113,219968.000000,-2.380000,0.140000,-1.260000,0.000000,0.000000
239872.000000,0.076570,1.765903,9.480364,239936.000000,-1.190000,0.280000,-1.120000,0.000000,0.000000
262720.000000,0.066999,1.799403,9.432507,259968.000000,0.280000,0.280000,-1.050000,0.000000,0.000000
279808.000000,0.062213,1.780260,9.379865,282816.000000,0.280000,0.840000,-1.260000,0.000000,0.000000
299776.000000,0.050249,1.818545,9.425328,299904.000000,-0.140000,1.470000,-1.330000,0.000000,0.000000
319808.000000,0.062213,1.787439,9.401401,319872.000000,0.210000,1.750000,-1.470000,0.000000,0.000000
339776.000000,0.019143,1.892723,9.346365,339904.000000,1.540000,1.960000,-1.330000,0.000000,0.000000
360704.000000,0.102891,1.904687,9.276974,359872.000000,2.870000,2.730000,-1.260000,0.000000,0.000000
379776.000000,0.124427,1.895115,9.164511,380800.000000,4.130000,3.150000,-1.260000,0.000000,0.000000
399744.000000,0.172283,1.935793,9.114261,399872.000000,5.250000,4.060000,-1.050000,0.000000,0.000000
419712.000000,0.126820,2.273181,8.985049,419840.000000,6.860000,6.160000,-0.070000,0.000000,0.000000
439744.000000,0.100499,2.105684,8.863015,439808.000000,8.890000,8.610000,5.950000,0.000000,0.000000
460608.000000,-0.110070,2.062613,8.937192,459840.000000,11.060000,8.820000,5.180000,0.000000,0.000000
479680.000000,-0.366102,2.282753,8.889337,480704.000000,13.090000,14.420000,7.210000,0.000000,0.000000
499712.000000,-0.241675,2.452643,8.602197,499776.000000,16.660000,18.480000,9.310000,0.000000,0.000000
