Acc_timestamp,Accx,Accy,Accz,Gyro_timestamp,Gyrox,Gyroy,Gyroz,Baro_timestamp,Pressure_Reading
1270369152.000000,2.830709,5.608776,6.281159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,3.122634,5.804988,6.159126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20224.000000,3.649055,5.623133,6.233303,1270408576.000000,-27.580000,-13.300000,-2.870000,0.000000,0.000000
40704.000000,3.500700,5.391029,6.546762,1270428800.000000,-27.580000,-13.300000,-2.870000,0.000000,0.000000
59904.000000,3.369094,5.733203,6.955935,1270449024.000000,-6.580000,3.710000,8.470000,0.000000,0.000000
79872.000000,3.450450,6.015556,7.180861,1270468480.000000,2.800000,-4.340000,2.310000,0.000000,0.000000
99840.000000,3.426522,6.288338,7.434500,1270508416.000000,14.350000,-1.330000,2.940000,0.000000,0.000000
120064.000000,3.335595,6.515656,7.649854,1270528640.000000,9.730000,-1.750000,4.690000,0.000000,0.000000
140544.000000,3.527020,6.506085,7.846066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
159744.000000,3.639483,6.307480,8.116454,1270548864.000000,0.980000,-5.320000,3.920000,0.000000,0.000000
180736.000000,4.031906,6.340980,8.087741,1270568320.000000,-7.560000,-10.360000,3.500000,0.000000,0.000000
200704.000000,4.261617,6.257231,8.575876,1270589312.000000,-7.280000,-15.820000,2.170000,0.000000,0.000000
221184.000000,3.713661,6.295516,8.853443,1270609280.000000,-2.310000,-13.860000,3.920000,0.000000,0.000000
241408.000000,3.897908,6.553941,8.693125,1270629504.000000,-0.350000,-2.800000,9.450000,0.000000,0.000000
260864.000000,4.400401,6.474977,8.470592,1270649984.000000,-2.730000,1.960000,13.930000,0.000000,0.000000
281344.000000,4.608576,5.747560,8.547162,1270669184.000000,-13.650000,2.800000,11.480000,0.000000,0.000000
301056.000000,4.364508,4.900501,8.480164,1270689664.000000,-29.540001,3.640000,7.140000,0.000000,0.000000
321536.000000,4.161119,4.132405,8.358130,1270709632.000000,-30.030001,2.870000,2.660000,0.000000,0.000000
341760.000000,3.699304,3.823731,8.267202,1270729856.000000,-11.060000,1.120000,1.330000,0.000000,0.000000
360960.000000,3.227918,3.857230,7.891530,1270750336.000000,8.120000,5.180000,4.690000,0.000000,0.000000
381696.000000,3.117848,3.431308,7.817351,1270769536.000000,15.610000,9.590000,10.640000,0.000000,0.000000
401408.000000,2.780460,3.208775,7.534998,1270790016.000000,6.020000,11.270000,14.140000,0.000000,0.000000
421888.000000,2.519642,3.208775,7.082755,1270809984.000000,-11.760000,14.070000,18.270000,0.000000,0.000000
442624.000000,2.734996,3.292524,6.719046,1270830208.000000,-23.799999,13.160000,18.900000,2445261056.000000,1008.703003
461312.000000,3.132205,3.299703,6.587440,1270851200.000000,-36.049999,7.140000,15.470000,0.000000,0.000000
481280.000000,3.275774,3.192025,6.532406,1270869888.000000,-44.520000,3.150000,11.270000,0.000000,0.000000
502528.000000,3.510271,3.215954,6.376873,1270889600.000000,-41.509998,2.660000,7.070000,0.000000,0.000000
522752.000000,3.649055,3.541377,6.285945,1270911104.000000,-25.690001,2.800000,3.290000,0.000000,0.000000
543232.000000,3.716053,3.986443,6.156733,1270931328.000000,-1.680000,3.990000,0.070000,0.000000,0.000000
562432.000000,3.560520,4.429115,6.123233,1270951552.000000,14.980000,6.510000,-1.680000,0.000000,0.000000
582656.000000,3.610770,4.584648,6.159126,1270971008.000000,14.770000,10.430000,-1.680000,0.000000,0.000000
602368.000000,4.041477,4.539185,6.446264,1270990976.000000,4.900000,12.950000,2.870000,0.000000,0.000000
622848.000000,4.338188,4.658825,6.719046,1271010944.000000,-8.120000,14.070000,6.160000,0.000000,0.000000
643072.000000,4.725825,4.898108,6.644868,1271031168.000000,-15.330000,15.470000,10.430000,0.000000,0.000000
662528.000000,4.945964,4.898108,6.728617,1271051648.000000,-10.710000,14.420000,11.760000,0.000000,0.000000
682496.000000,4.862216,4.934000,6.745367,1271070848.000000,-5.530000,13.860000,8.960000,0.000000,0.000000
702464.000000,4.551149,5.340781,6.640083,1271091072.000000,5.390000,16.450001,7.490000,0.000000,0.000000
722688.000000,4.467400,5.931807,6.386444,1271110784.000000,23.170000,23.309999,8.960000,0.000000,0.000000
744960.000000,4.546363,6.336195,6.187840,1271131264.000000,36.540001,31.219999,13.790000,0.000000,0.000000
762368.000000,4.175476,6.285945,6.128019,1271153536.000000,36.540001,41.090000,17.780001,0.000000,0.000000
782336.000000,3.713661,6.206983,6.029913,1271170944.000000,29.120001,57.330002,22.680000,0.000000,0.000000
802304.000000,3.026921,6.025128,5.424529,1271210880.000000,37.310001,95.410004,37.240002,0.000000,0.000000
822528.000000,1.138984,5.860023,4.465007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
842752.000000,-1.088734,5.359922,3.938586,1271231104.000000,31.360001,126.840004,52.009998,0.000000,0.000000
862208.000000,-2.849852,4.735396,4.197011,1271251328.000000,0.770000,156.869995,65.239998,0.000000,0.000000
882176.000000,-4.388437,4.096512,4.517649,1271270784.000000,-41.720001,184.029999,73.779999,0.000000,0.000000
902144.000000,-5.941379,3.751946,4.563113,1271290752.000000,-68.739998,211.960007,80.360001,0.000000,0.000000
922624.000000,-7.314859,3.622734,4.074977,1271310720.000000,-67.199997,239.889999,85.959999,0.000000,0.000000
942848.000000,-8.427521,3.517449,3.524628,1271330944.000000,-53.060001,263.200012,90.580002,0.000000,0.000000
962304.000000,-9.755538,3.280560,3.031706,1271351168.000000,-51.730000,284.690002,92.330002,0.000000,0.000000
982272.000000,-11.284552,2.876173,2.371287,1271370624.000000,-71.750000,311.500000,96.949997,0.000000,0.000000
1002240.000000,-12.662818,2.469393,1.505085,1271390592.000000,-106.260002,339.570007,100.169998,0.000000,0.000000
1022464.000000,-13.265808,1.816152,0.507278,1271410560.000000,-148.470001,362.880005,95.690002,0.000000,0.000000
1042688.000000,-13.459626,1.083949,-0.373280,1271431040.000000,-198.380005,375.899994,84.980003,0.000000,0.000000
