time,seconds_elapsed,z,y,x
1633779581501605000,0.027605224609375,-8.479729780831933,-4.620653429017961,-1.7070822964347898
1633779581521485000,0.047485107421875,-8.477614396113157,-4.621710536855459,-1.7147088457904756
1633779581541364000,0.067364013671875,-8.484839086669682,-4.604807625110447,-1.724423453466594
1633779581561244000,0.087243896484375,-8.499042968589068,-4.573595032984018,-1.7374911709628997
1633779581581124000,0.1071240234375,-8.514961837732791,-4.537228711356223,-1.7548136232942342
1633779581601003000,0.1270029296875,-8.528219963234662,-4.504479411181808,-1.774686636891216
1633779581620883000,0.146883056640625,-8.541269414421915,-4.471590118014812,-1.7949882511638104
1633779581640762000,0.16676220703125,-8.554585407590865,-4.437896814988553,-1.8150803143389522
1633779581660641800,0.186641845703125,-8.565309630700945,-4.409249981696903,-1.8342222371824084
1633779581680521000,0.20652099609375,-8.569951903548835,-4.394449595189094,-1.848005555602163
1633779581700401200,0.226401123046875,-8.569117206290363,-4.388867995664477,-1.8650598585166036
1633779581720281000,0.246281005859375,-8.574361536684632,-4.368115130493044,-1.8895181540772317
1633779581740160000,0.266159912109375,-8.58094968290329,-4.339303754289448,-1.9256508130796253
1633779581760040000,0.2860400390625,-8.570545193266868,-4.342156513372063,-1.9651507565580306
1633779581779918800,0.3059189453125,-8.538784027346969,-4.396764594133198,-1.9819228815302252
1633779581799799000,0.325799072265625,-8.506490361985565,-4.467003374746442,-1.9636418132998048
1633779581819679000,0.345678955078125,-8.48607593498826,-4.529945276349783,-1.9069586798302829
1633779581839558100,0.36555810546875,-8.473535017845034,-4.581596260870993,-1.8380854884818196
1633779581859437800,0.385437744140625,-8.47710527754724,-4.591595092315972,-1.7961971885621546
1633779581879317000,0.40531689453125,-8.502429103896022,-4.525248350705206,-1.844236266196519
1633779581899197200,0.425197265625,-8.57270733973682,-4.3713849459439515,-1.8894623322367667
1633779581919075800,0.445075927734375,-8.691458222323655,-4.157355534033477,-1.8290267143659293
1633779581938956000,0.4649560546875,-8.827212262159586,-3.943916781492531,-1.6420182881109415
1633779581958836000,0.4848359375,-8.96607128227353,-3.7237168642535803,-1.3834303341582417
1633779581978715000,0.50471484375,-9.087045101606845,-3.5108027201086283,-1.1270572067108005
1633779581998595000,0.524594970703125,-9.188288969075678,-3.3118788151323795,-0.8815803710047155
1633779582018474000,0.544473876953125,-9.258963510757685,-3.154990801852941,-0.6985740199979394
1633779582038354000,0.56435400390625,-9.294055282405019,-3.0773765240356323,-0.5662752351824194
1633779582058233000,0.584233154296875,-9.294968305596708,-3.094121030348539,-0.44762277146875856
1633779582078113000,0.604113037109375,-9.267555398014187,-3.1864179135128854,-0.35992059568352996
1633779582097993200,0.6239931640625,-9.224106716910004,-3.314281784620881,-0.31901604610420764
1633779582117871900,0.643871826171875,-9.182229815167188,-3.4289804692074655,-0.31484588428009297
1633779582137752000,0.663751953125,-9.158698717454076,-3.4906410988286134,-0.3225601849844679
1633779582157631000,0.683630859375,-9.15577961513698,-3.4990859788298603,-0.31381807560231534
1633779582177511000,0.703510986328125,-9.164349290561676,-3.4790801326334475,-0.28476755688060074
1633779582197390300,0.723390380859375,-9.1746345377326,-3.4566569961622355,-0.21905361501434817
1633779582217270300,0.743270263671875,-9.172259040772914,-3.465604857249558,-0.1721228091491386
